Bulan,,,,,,
,Jumlah Pengunjung Obyek Wisata Candi Borobudur Menurut Asal Wisatawan dan Bulan di Kabupaten Magelang,,,,,
,Domestik,,,Mancanegara,,
,2020,2021,2022,2020,2021,2022
Januari,395175,30394,131561,15603,52,127
Februari,234280,18641,89203,11506,37,170
Maret,111908,34624,111540,4213,33,348
April,-,30713,23890,-,64,618
Mei,-,38369,324135,-,55,2175
Juni,2235,54589,191810,2,70,4341
Juli,16858,-,125266,29,-,1184
Agustus,45571,-,51906,39,-,15550
September,23591,5892,44552,19,9,9853
Oktober,43159,30285,76461,38,93,7688
November,32449,51485,74253,26,106,4941
Desember,60473,127938,198709,76,155,6941
Kabupaten Magelang,965699,422930,1443286,31551,674,53936
